ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,pivot_price,distance,vol_dryup,market,bottom1,bottom2,neckline,dist_from_neckline,box_high,box_range,breakout,pivot_dryup,range1,range2,range3,contraction,vol_contraction
005930,삼성전자,219000,191356,+14.4%,0.6x,7/7,Pivot Setup,219000.0,+0.0%,0.7x avg,KOSPI,,,,,,,,,,,,,
005935,삼성전자우,150400,132562,+13.5%,0.9x,6/7,Double Bottom,,,,KOSPI,114800.0,114000.0,149100.0,+0.9%,,,,,,,,,
105560,KB금융,160400,154114,+4.1%,0.5x,7/7,Double Bottom,,,,KOSPI,137700.0,141900.0,155700.0,+3.0%,,,,,,,,,
055550,신한지주,99800,95294,+4.7%,0.6x,7/7,Double Bottom + Pivot Setup,101400.0,-1.6%,0.8x avg,KOSPI,88500.0,87700.0,97900.0,+1.9%,,,,,,,,,
042660,한화오션,131200,129340,+1.4%,1.1x,6/7,Double Bottom,,,,KOSPI,118200.0,120100.0,128000.0,+2.5%,,,,,,,,,
006800,미래에셋증권,68800,64995,+5.9%,0.7x,6/7,Double Bottom,,,,KOSPI,61100.0,61500.0,67300.0,+2.2%,,,,,,,,,
086790,하나금융지주,123000,116310,+5.8%,0.7x,7/7,Pivot Setup,125000.0,-1.6%,0.7x avg,KOSPI,,,,,,,,,,,,,
010140,삼성중공업,30200,27937,+8.1%,1.8x,6/7,Double Bottom,,,,KOSPI,23500.0,24450.0,30850.0,-2.1%,,,,,,,,,
316140,우리금융지주,35800,34433,+4.0%,0.8x,7/7,Pivot Setup,36250.0,-1.2%,0.8x avg,KOSPI,,,,,,,,,,,,,
030200,KT,62700,61370,+2.2%,0.8x,6/7,Double Bottom,,,,KOSPI,57800.0,59100.0,61400.0,+2.1%,,,,,,,,,
010950,S-Oil,114300,113718,+0.5%,0.7x,6/7,Double Bottom,,,,KOSPI,105400.0,105300.0,113300.0,+0.9%,,,,,,,,,
005940,NH투자증권,35950,32735,+9.8%,0.7x,7/7,Double Bottom + Pivot Setup,36350.0,-1.1%,0.7x avg,KOSPI,28800.0,29600.0,35600.0,+1.0%,,,,,,,,,
011070,LG이노텍,425000,299380,+42.0%,0.7x,7/7,Pivot Setup,417000.0,+1.9%,0.8x avg,KOSPI,,,,,,,,,,,,,
007660,이수페타시스,133200,113744,+17.1%,1.6x,6/7,Double Bottom,,,,KOSPI,98800.0,98000.0,129500.0,+2.9%,,,,,,,,,
271560,오리온,135400,131820,+2.7%,0.9x,7/7,Double Bottom,,,,KOSPI,123600.0,127000.0,137800.0,-1.7%,,,,,,,,,
022100,포스코DX,34650,33698,+2.8%,1.8x,6/7,Double Bottom,,,,KOSPI,28850.0,29450.0,33650.0,+3.0%,,,,,,,,,
103590,일진전기,86400,78078,+10.7%,0.8x,6/7,Double Bottom,,,,KOSPI,72400.0,69500.0,82600.0,+4.6%,,,,,,,,,
085620,미래에셋생명,17430,14784,+17.9%,0.7x,7/7,Double Bottom,,,,KOSPI,15600.0,16120.0,17910.0,-2.7%,,,,,,,,,
139480,이마트,101700,99844,+1.9%,0.6x,7/7,Double Bottom,,,,KOSPI,88700.0,90100.0,100700.0,+1.0%,,,,,,,,,
030610,교보증권,13670,12986,+5.3%,1.1x,6/7,Double Bottom,,,,KOSPI,11600.0,11400.0,13280.0,+2.9%,,,,,,,,,
181710,NHN,41400,37759,+9.6%,0.9x,7/7,Double Bottom,,,,KOSPI,36800.0,35550.0,41900.0,-1.2%,,,,,,,,,
003470,유안타증권,5050,4908,+2.9%,0.8x,6/7,Double Bottom,,,,KOSPI,4335.0,4420.0,5150.0,-1.9%,,,,,,,,,
003850,보령,9880,9597,+2.9%,1.0x,6/7,Double Bottom,,,,KOSPI,8750.0,9000.0,9660.0,+2.3%,,,,,,,,,
293940,신한알파리츠,6230,5829,+6.9%,1.6x,6/7,Flat Base Breakout,,,,KOSPI,,,,,6150.0,9.4%,+1.3%,False,,,,,
006340,대원전선,6400,5389,+18.7%,0.7x,6/7,Double Bottom,,,,KOSPI,5000.0,4920.0,6520.0,-1.8%,,,,,,,,,
357120,코람코라이프인프라리츠,4745,4587,+3.4%,1.3x,6/7,Double Bottom,,,,KOSPI,4310.0,4470.0,4645.0,+2.2%,,,,,,,,,
025860,남해화학,8620,8037,+7.3%,0.3x,6/7,Double Bottom,,,,KOSPI,7930.0,7810.0,8440.0,+2.1%,,,,,,,,,
009160,SIMPAC,5340,5126,+4.2%,0.4x,7/7,Double Bottom,,,,KOSPI,4800.0,4570.0,5260.0,+1.5%,,,,,,,,,
404990,신한서부티엔디리츠,4670,4287,+8.9%,1.9x,6/7,Double Bottom + Flat Base Breakout,,,,KOSPI,4135.0,4085.0,4540.0,+2.9%,4600.0,13.7%,+1.5%,False,,,,,
013580,계룡건설,29250,26441,+10.6%,1.3x,7/7,Double Bottom,,,,KOSPI,24200.0,24600.0,29400.0,-0.5%,,,,,,,,,
095570,AJ네트웍스,5100,5131,-0.6%,0.6x,6/7,VCP,,,,KOSPI,,,,,,,,,20.9%,13.5%,5.6%,27% of initial,True
021050,서원,1382,1277,+8.2%,0.7x,6/7,Double Bottom,,,,KOSPI,1217.0,1175.0,1336.0,+3.4%,,,,,,,,,
012280,영화금속,1091,1039,+4.9%,1.0x,6/7,Double Bottom,,,,KOSPI,1011.0,1001.0,1086.0,+0.5%,,,,,,,,,
002690,동일제강,1704,1595,+6.8%,0.2x,6/7,Double Bottom,,,,KOSPI,1446.0,1500.0,1652.0,+3.1%,,,,,,,,,
005290,동진쎄미켐,54700,50526,+8.3%,0.5x,6/7,Double Bottom,,,,KOSDAQ,45150.0,44000.0,55000.0,-0.5%,,,,,,,,,
080220,제주반도체,46850,42921,+9.2%,6.2x,6/7,Double Bottom,,,,KOSDAQ,36850.0,35100.0,45900.0,+2.1%,,,,,,,,,
195940,HK이노엔,51800,51639,+0.3%,0.8x,6/7,Double Bottom,,,,KOSDAQ,45550.0,46800.0,53100.0,-2.4%,,,,,,,,,
036540,SFA반도체,7570,6993,+8.2%,2.9x,6/7,Double Bottom,,,,KOSDAQ,6030.0,5990.0,7500.0,+0.9%,,,,,,,,,
033100,제룡전기,51700,50371,+2.6%,0.8x,6/7,Double Bottom,,,,KOSDAQ,43000.0,43500.0,50200.0,+3.0%,,,,,,,,,
272290,이녹스첨단소재,36300,33488,+8.4%,2.1x,6/7,Double Bottom,,,,KOSDAQ,27850.0,28650.0,35400.0,+2.5%,,,,,,,,,
041960,코미팜,9630,8544,+12.7%,0.9x,7/7,Double Bottom,,,,KOSDAQ,7900.0,7740.0,9610.0,+0.2%,,,,,,,,,
091700,파트론,8350,8057,+3.6%,1.0x,6/7,Double Bottom,,,,KOSDAQ,7500.0,7620.0,8580.0,-2.7%,,,,,,,,,
092870,엑시콘,32950,29191,+12.9%,1.1x,6/7,Double Bottom,,,,KOSDAQ,24500.0,25100.0,31850.0,+3.5%,,,,,,,,,
036200,유니셈,11160,10046,+11.1%,1.3x,6/7,Double Bottom,,,,KOSDAQ,8590.0,8520.0,10720.0,+4.1%,,,,,,,,,
067390,아스트,800,769,+3.9%,1.3x,6/7,Double Bottom,,,,KOSDAQ,733.0,702.0,807.0,-0.9%,,,,,,,,,
061970,LB세미콘,4875,4569,+6.7%,0.8x,6/7,Double Bottom,,,,KOSDAQ,4005.0,3875.0,5000.0,-2.5%,,,,,,,,,
017890,한국알콜,12630,11655,+8.4%,0.4x,6/7,Pivot Setup,12640.0,-0.1%,0.4x avg,KOSDAQ,,,,,,,,,,,,,
417010,나노팀,11940,10956,+9.0%,0.8x,6/7,Double Bottom,,,,KOSDAQ,8730.0,8960.0,11490.0,+3.9%,,,,,,,,,
008830,대동기어,21900,21619,+1.3%,1.2x,6/7,Double Bottom,,,,KOSDAQ,18300.0,19120.0,21750.0,+0.7%,,,,,,,,,
456070,이엔셀,15750,15679,+0.5%,0.9x,6/7,Double Bottom,,,,KOSDAQ,14600.0,14000.0,16020.0,-1.7%,,,,,,,,,
322180,LS티라유텍,8220,7914,+3.9%,1.3x,6/7,Double Bottom,,,,KOSDAQ,6890.0,6730.0,8380.0,-1.9%,,,,,,,,,
040300,YTN,3490,3356,+4.0%,0.3x,6/7,Double Bottom,,,,KOSDAQ,3055.0,3010.0,3400.0,+2.6%,,,,,,,,,
049520,유아이엘,4195,3967,+5.7%,1.0x,7/7,Double Bottom,,,,KOSDAQ,3705.0,3670.0,4165.0,+0.7%,,,,,,,,,
448710,코츠테크놀로지,21700,19749,+9.9%,1.1x,6/7,Double Bottom,,,,KOSDAQ,17070.0,17090.0,22100.0,-1.8%,,,,,,,,,
011370,서한,1085,1047,+3.6%,1.2x,6/7,VCP + Double Bottom,,,,KOSDAQ,1033.0,1009.0,1106.0,-1.9%,,,,,33.2%,22.0%,9.5%,29% of initial,True
010280,아이티센엔텍,1145,1101,+3.9%,0.0x,7/7,Double Bottom,,,,KOSDAQ,1009.0,995.0,1143.0,+0.2%,,,,,,,,,
126640,화신정공,1567,1507,+3.9%,1.0x,6/7,VCP,,,,KOSDAQ,,,,,,,,,28.2%,20.9%,9.2%,33% of initial,True
017000,신원종합개발,3345,3134,+6.7%,2.1x,7/7,Double Bottom,,,,KOSDAQ,2735.0,2865.0,3250.0,+2.9%,,,,,,,,,
